swVersion	productClass	wifiType	operator	province	chipset	chipsetDate	midware	midwareDate	author	firmwareDate	noteAddr	firmwareAddr
RG020ET-CA_SW_B_ZY_CTJL_R1.00.01	RG020ET-CA	RTL8676	CT	jl	S905L		suying	20170620	吴凯利	2017-06-27	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8242-FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/吉林电信LAN上行
G-120WT-P_SW_A_ZY_CTSH_R1.00.01	G-120WT-P	MTK7526FU	CT	sh	RK3228B	201703-10	suying	20170322	李德忠	2017-06-23	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH-13916-8252-FCZZA#01P05	http://172.24.170.213/E%3A/stb/IP_STB现场版本/上海电信
RG020ET-CA_SW_B_ZY_CTHE_R1.00.02	RG020ET-CA	RTL8676	CT	he	S905L	20170621	suying	20170621	姜良超	2017-06-23	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8238-FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/河北电信LAN上行
S-010W-A_SW_A_ZY_CTNX_R1.01.28	S-010W-A	RTL8189ETV	CT	nx	RK3228B	20161031	suying	20170620	童维青	2017-06-20	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078013_FCZZA#01P23	http://172.24.170.213/E%3A/stb/IP_STB现场版本/宁夏电信
RG020ET-CA_SW_B_ZY_CUHL_HUAWEI_R1.00.06	RG020ET-CA	RTL8676	CU	hl	S905L	20170428	suying	20170615	吴凯利	2017-06-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8222-FCZZA#01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/黑龙江联通LAN上行
S-010W-A_SW_A_ZY_CTHN_R1.00.01	S-010W-A	RTL8189ETV	CT	hn	RK3228B	20170606	suying	20170606	童维青	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南电信
S-010W-A_SW_A_ZY_CTNX_R1.01.26	S-010W-A	RTL8189ETV	CT	nx	RK3228B	20161031	suying	20170615	童维青	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078013_FCZZA#01P21	http://172.24.170.213/E%3A/stb/IP_STB现场版本/宁夏电信
S-010W-A_SW_A_ZY_CTNX_R1.01.27	S-010W-A	RTL8189ETV	CT	nx	RK3228B	20161031	suying	20170615	童维青	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078013_FCZZA#01P22	http://172.24.170.213/E%3A/stb/IP_STB现场版本/宁夏电信
S-010W-A_SW_A_ZY_CUNM_R1.00.03	S-010W-A	RTL8189ETV	CU	nm	RK3228B	20170612	suying	20170612	姜良超	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8229-FCZZA#01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/内蒙古联通
G-120WT-P_SW_A_ZY_CUNM_R1.00.08	G-120WT-P	MTK7526FU	CU	nm	RK3228B	20170615	suying	20170612	李滨伟	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078225_FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一内蒙联通
